filter,mjd,flux,zp,magsys,fluxerr,ra_unc,dec_unc,ra,dec
ztfg,58744.20135999983,30988.46042012061,25.0,ab,371.0385501207088,0.25,0.22,342.4596227,51.2633822
ztfg,58352.39136999985,29241.52377843337,25.0,ab,350.12170462736145,0.25,0.22,342.4596037,51.2633916
ztfg,58286.43106999993,25142.010301590228,25.0,ab,301.0364155866526,0.25,0.22,342.4596065,51.2633967
ztfg,58738.243309999816,21438.776659735067,25.0,ab,256.69596037836436,0.25,0.22,342.4596142,51.2633795
ztfg,58739.252460000105,30310.9815358405,25.0,ab,362.92679563039945,0.25,0.22,342.4596197,51.2633794
ztfg,58749.202200000174,30507.034978225158,25.0,ab,365.27423025678524,0.25,0.22,342.4596181,51.2633793
ztfg,58748.20037000021,23313.098574180305,25.0,ab,279.13804611501763,0.25,0.22,342.4596161,51.2633772
ztfg,58737.47026999993,31160.18303105461,25.0,ab,373.0946609348661,0.25,0.22,342.4596726,51.2633879
ztfg,58348.3646300002,30535.14593940289,25.0,ab,365.6108152350797,0.25,0.22,342.4595815,51.2633928
ztfg,58747.24189000018,27164.392688390835,25.0,ab,325.251294880912,0.25,0.22,342.4596294,51.2633748
ztfg,58741.201690000016,30563.282803659662,25.0,ab,365.94771036240263,0.25,0.22,342.4596128,51.263375
ztfg,58360.41147000017,31131.496654470284,25.0,ab,372.75118625326644,0.25,0.22,342.4594998,51.2633998
ztfg,58346.345739999786,19787.913352337382,25.0,ab,255.15478523486956,0.25,0.22,342.4596318,51.2633849
ztfg,58668.45585000003,26013.57256653135,25.0,ab,311.4720162825073,0.25,0.22,342.459625,51.2633864
ztfg,58350.43520000018,31275.193114079797,25.0,ab,374.4717275550335,0.25,0.22,342.4596093,51.2633852
ztfg,58765.232720000204,31131.496654470284,25.0,ab,372.75118625326644,0.25,0.22,342.4596448,51.2633803
ztfg,58340.36137000006,30846.081377571445,25.0,ab,369.3337828364098,0.25,0.22,342.4596336,51.2633752
ztfg,58754.19995999988,30902.95432513592,25.0,ab,370.0147478059283,0.25,0.22,342.4596329,51.2633804
ztfg,58768.23236999987,18967.059212111482,25.0,ab,244.57030075036715,0.25,0.22,342.4596391,51.2633776
ztfg,58766.233800000045,30789.313097416132,25.0,ab,368.65407109610027,0.25,0.22,342.4596728,51.263387
ztfg,58283.45253999997,30591.445594864148,25.0,ab,366.284915924544,0.25,0.22,342.4596015,51.2633921
ztfg,58766.18471999979,30874.504755874485,25.0,ab,369.6741085232014,0.25,0.22,342.4596284,51.2633813
ztfg,58769.23376000021,24322.04009073816,25.0,ab,291.21854938574955,0.25,0.22,342.4596539,51.2633803
ztfg,58769.24057999998,22972.063071583547,25.0,ab,275.0546771219253,0.25,0.22,342.4596481,51.2633822
ztfg,58764.2341,30255.19803872309,25.0,ab,362.2588751332047,0.25,0.22,342.45967,51.2633737
ztfg,58720.40829999978,30535.14593940289,25.0,ab,365.6108152350797,0.25,0.22,342.4596309,51.2633797
ztfg,58791.16985999979,31739.494085622257,25.0,ab,380.03100855722533,0.25,0.22,342.4596949,51.2633694
ztfg,58683.469080000184,29107.171180666082,25.0,ab,348.5130415184269,0.25,0.22,342.4596361,51.2633836
ztfg,58705.40829000017,30959.93213309174,25.0,ab,370.69696831531695,0.25,0.22,342.4596487,51.2633812
ztfg,58297.47023000009,28973.435877013213,25.0,ab,346.9117695450993,0.25,0.22,342.4595954,51.2633916
ztfg,58316.40946999984,14641.986429352784,25.0,ab,188.80075105807376,0.25,0.22,342.4595355,51.2633995
ztfg,58665.47145000007,31017.0149947769,25.0,ab,371.38044667949697,0.25,0.22,342.459626,51.2633936
ztfg,58325.40266000014,29977.816715823814,25.0,ab,358.93766580289906,0.25,0.22,342.4594735,51.263413
ztfg,58313.44922999991,30931.430109489633,25.0,ab,370.3557009735562,0.25,0.22,342.4595595,51.2633741
ztfg,58319.40799999982,30959.93213309174,25.0,ab,370.69696831531695,0.25,0.22,342.4596032,51.2633894
ztfg,58310.36628000019,29241.52377843337,25.0,ab,350.12170462736145,0.25,0.22,342.4595457,51.2633857
ztfg,58324.45502999984,30931.430109489633,25.0,ab,370.3557009735562,0.25,0.22,342.4595862,51.2633885
