GLADE no,PGC no,GWGC name,HyperLEDA name,2MASS name,WISExSCOS name,SDSS-DR16Q name,Object type flag,RA,DEC,B,B_err,B flag,B_Abs,J,J_err,H,H_err,K,K_err,W1,W1_err,W2,W2_err,W1 flag,B_J,B_J err,z_helio,z_cmb,z flag,v_err,z_err,d_L,d_L err,dist flag,M*,M*_err,M* flag,Merger rate,Merger rate error
11,39183,NGC4206,NGC4206,12151687+1301258,J121516.80+130126.3,null,G,183.820312,13.02384,12.08,,0,-19.2556,10.655,0.019,9.941,0.021,9.686,0.025,11.578,,11.619,,0,,,0.004312982,0.004161525,1,0.000750381,0.000125076,18.497906,3.347909,3,0.06,0.03,1,2.9,0.8
12,38688,NGC4144,NGC4144,12095860+4627258,J120958.62+462726.6,null,G,182.494171,46.45718,11.2,,0,-18.3619,10.661,0.02,10.103,0.025,9.922,0.029,12.474,,12.466,,0,,,0.001555051,0.001841931,1,0.000264738,4.50965E-05,8.17287,1.176566,3,,,1,,
13,42688,NGC4630,NGC4630,null,J124231.15+035736.5,null,G,190.63,3.95996,13.1,,0,-17.2579,,,,,,,11.349,,11.129,,0,,,0.003827882,0.00265591,1,0.00046974,0.000111009,11.791922,2.090567,3,0.03,0.01,1,2.5,0.8
14,42396,NGC4595,NGC4595,12395191+1517520,J123951.93+151751.5,null,G,189.966293,15.2978,12.7,,0,-17.8545,11.006,0.019,10.517,0.024,10.232,0.025,11.827,,11.865,,0,,,0.003740942,0.002906936,1,0.000547473,0.000108487,12.908924,2.437591,3,0.02,0.01,1,2.4,0.7
15,42550,IC3653,IC3653,12411572+1123138,J124115.73+112314,null,G,190.315506,11.38718,14.26,,0,-16.0435,11.583,0.026,10.917,0.033,10.683,0.055,11.164,,11.252,,0,,,0.003605912,0.002590275,1,0.000508808,0.000104571,11.499936,2.26428,3,0.04,0.02,,2.6,0.8
16,41066,NGC4455,NGC4455,null,J122844.10+224917.8,null,G,187.184,22.82148,12.5,,0,-17.4957,,,,,,,13.243,,13.214,,0,,,0.002451541,0.002248514,1,0.000272972,7.10947E-05,9.980026,1.213918,3,,,1,,
17,7671,NGC0784,NGC0784,02011693+2850141,null,null,G,30.320551,28.837259,11.39,,0,-17.6187,11.97,0.032,11.42,0.044,11.223,0.062,12.113,,,,1,,,0.001158571,0.001428163,1,0.000191761,3.35985E-05,6.334925,0.851651,3,,,,,
18,39432,UGC07321,UGC07321,null,J121734.02+223225.3,null,G,184.391,22.54038,13.1,,0,-16.0647,,,,,,,13.02,,12.943,,0,,,0.001342111,0.001534421,1,0.000241613,3.89212E-05,6.806807,1.073269,3,,,1,,
19,40985,IC3381,IC3381,12281485+1147236,J122814.90+114722.9,null,G,187.06189,11.789913,14.31,,0,-16.3228,12.25,0.05,11.61,0.067,11.493,0.117,12.63,,12.707,,0,,,0.003880802,0.003013449,1,0.000671417,0.000112543,13.383006,2.990207,3,0.02,0.003,0,2.3,0.7
20,40209,NGC4328,NGC4328,12232004+1549139,J122320.16+154913.4,null,G,185.833511,15.820545,14.08,,0,-15.4524,12.567,0.037,11.896,0.056,11.723,0.078,13.122,,13.164,,0,,,0.001884541,0.00181711,1,0.00024141,5.46517E-05,8.06258,1.07283,3,,,0,,
21,,null,2797850,03280783+5156168,J032807.84+515617,null,G,52.032654,51.938011,13.697,,0,-13.8634,12.946,0.035,12.031,0.037,11.646,0.044,11.601,,11.569,,0,,,0.000271,0.000733403,1,0.000273765,0.015,3.251439,1.214634,1,,,,,
22,,null,null,02442628+6523164,J024426.23+652316.5,null,G,41.109512,65.387894,15.928394,0.138582,1,-12.469,15.407,0.124,14.305,0.118,14.167,0.149,13.91,,13.919,,0,15.537,0.148,0.000204,0.001078014,1,0.000258553,0.015,4.780483,1.147733,1,,,0,,
23,,null,null,02572662+5652096,J025726.51+565209.8,null,G,44.360931,56.869343,14.590616,0.062314,1,-13.5231,14.626,0.082,13.95,0.092,13.317,0.094,14.01,,14.029,,0,14.271,0.064,0.000274,0.000946098,1,0.000257413,0.015,4.195072,1.142442,1,,,1,,
24,,null,null,01082171+5951198,J010821.68+595118.5,null,G,17.090475,59.855515,15.970243,0.059688,1,-12.752,14.938,0.081,14.294,0.11,14.072,0.14,13.96,,13.988,,0,15.617,0.061,0.000142,0.001251828,1,0.000240799,0.015,5.552006,1.069191,1,,,1,,
25,,null,null,00190379+5949312,null,null,G,4.765829,59.825336,14.230393,0.060562,1,-15.1824,14.829,0.073,14.14,0.093,13.865,0.108,14.352,,,,1,13.934,0.062,0.000391,0.001719858,1,0.000212482,0.015,7.630504,0.944115,1,,,,,
26,,null,null,02143813+6412358,J021438.15+641236,null,G,33.658913,64.209953,15.349354,0.059688,1,-13.4023,15.072,0.095,14.32,0.118,14.04,0.134,14.295,,14.285,,0,15.032,0.061,0.000308,0.001268866,1,0.00023306,0.015,5.627642,1.034851,1,,,,,
27,,null,null,03514284+5719065,J035142.95+571907.2,null,G,57.928505,57.318489,16.118434,0.061336,1,-11.817,14.622,0.074,13.748,0.066,13.695,0.1,13.499,,13.488,,0,15.691,0.063,0.000359,0.000871572,1,0.000260566,0.015,3.864401,1.156304,1,,,0,,
28,,null,null,03072501+5232217,J030724.85+523219.8,null,G,46.854248,52.539371,15.62187,0.05871,1,-12.4783,14.748,0.062,14.187,0.079,14.087,0.111,14.048,,14.055,,0,15.254,0.06,0.000403,0.000940241,1,0.000239613,0.015,4.169085,1.063418,1,,,0,,
29,,null,null,19080951+2429526,J190809.49+242953.5,null,G,287.039642,24.497967,16.385791,0.05871,1,-13.8585,14.884,0.094,14.294,0.109,13.895,0.135,14.147,,14.391,,0,15.938,0.06,0.000154,0.002520779,1,0.00021416,0.015,11.190804,0.952732,1,,,1,,
30,,null,null,04240697+2652306,J042406.98+265230.6,null,G,66.029076,26.875187,15.975441,0.06505,1,-4.32773,14.881,0.066,14.313,0.089,14.022,0.114,13.945,,14.039,,0,15.632,0.067,0.00028,2.59498E-05,1,0.000275303,0.015,0.114983,1.220136,1,,,0,,
31,,null,null,05150905+2552597,J051509.10+255259.1,null,G,78.78772,25.88327,14.809647,0.059584,1,,14.642,0.044,13.954,0.053,13.654,0.07,13.761,,13.786,,0,14.484,0.061,0.000125,-9.39339E-06,1,0.00015025,0.015,,,1,,,0,,
32,,null,null,20522235+5311021,J205222.15+531104.1,null,G,313.09314,53.183929,13.256226,0.059584,1,-16.7778,14.12,0.093,13.212,0.085,12.882,0.121,12.725,,12.676,,0,12.963,0.061,0.000211,0.002288569,1,0.000232648,0.015,10.158121,1.03463,1,,,1,,
33,,null,null,20522714+5333461,J205227.19+533345.2,null,G,313.113098,53.562817,14.226472,0.060562,1,-16.0933,14.559,0.103,14.294,0.156,13.673,0.157,13.4,,13.517,,0,13.934,0.062,0.000579,0.002609787,1,0.000210582,0.015,11.586734,0.936939,1,,,0,,
34,,null,null,00191183+6116235,J001911.76+611622.4,null,G,4.799311,61.27322,13.782845,0.059584,1,-15.4975,14.55,0.108,13.717,0.102,13.322,0.125,13.306,,13.278,,0,13.505,0.061,0.000281,0.001618228,1,0.000222659,0.015,7.179045,0.989187,1,,,1,,
35,,null,null,20014070+0903152,J200140.73+090314.8,null,G,300.419617,9.054231,18.095721,0.05871,1,-11.9432,14.588,0.119,14.161,0.164,13.577,0.161,14.156,0.036,14.268,0.053,0,17.481,0.06,0.000116,0.002293718,1,0.000214683,0.015,10.181016,0.954731,1,,,1,,
36,,null,null,01454628+6902135,J014546.03+690213.3,null,G,26.442858,69.037109,15.237996,0.059688,1,-13.6865,14.902,0.094,14.235,0.115,13.923,0.14,14.167,,14.36,,0,14.922,0.061,0.000272,0.001373899,1,0.00023669,0.015,6.093971,1.051142,1,,,1,,
37,,null,null,06455301+0225314,J064553.04+022531.4,null,G,101.470909,2.425399,14.445012,0.05871,1,-8.85179,14.554,0.093,13.927,0.108,13.451,0.119,13.81,,13.861,,0,14.145,0.06,0.000103,0.000585,0,,0.015,0.456415,,1,,,1,,
38,,null,null,20564349+5834175,J205643.53+583417.9,null,G,314.181244,58.571545,15.530925,0.062314,1,-14.4917,14.565,0.069,14.09,0.11,13.593,0.09,13.498,,13.444,,0,15.181,0.064,0.000296,0.002276581,1,0.000234069,0.015,10.104818,1.04093,1,,,0,,
39,,null,null,21125778+6124418,J211257.71+612440.6,null,G,318.240784,61.411613,16.21787,0.077554,1,-13.8768,14.84,0.084,14.238,0.12,13.97,0.14,13.882,,13.886,,0,15.831,0.081,0.000447,0.0023532,1,0.000225526,0.015,10.445513,1.003048,1,,,0,,
40,,null,null,20323224+3013268,J203232.27+301328.8,null,G,308.134338,30.224134,15.822751,0.060562,1,-14.4054,14.568,0.106,14.217,0.133,13.655,0.158,14.058,,14.326,,0,15.468,0.062,0.000221,0.002502129,1,0.000205784,0.015,11.107847,0.91544,1,,,0,,
41,,null,null,20331407+3009053,J203313.99+300904.3,null,G,308.308655,30.151485,14.970528,0.05871,1,-15.6582,14.539,0.113,14.123,0.134,13.405,0.145,14.018,,14.206,,0,14.62,0.06,0.00075,0.003007796,1,0.000180094,0.015,13.357843,0.801758,1,,,0,,
42,,null,null,21201341+5811183,J212013.34+581117.7,null,G,320.055908,58.188438,15.019235,0.059584,1,-15.0967,14.159,0.074,13.569,0.08,13.198,0.119,13.54,,13.703,,0,14.677,0.061,0.000449,0.002376355,1,0.000224272,0.015,10.548481,0.997508,1,,,1,,
43,,null,null,20534057+5640369,J205340.57+564036.8,null,G,313.419067,56.676922,15.641687,0.059584,1,-14.6748,14.527,0.091,13.784,0.092,13.468,0.127,13.486,,13.622,,0,15.261,0.061,0.000618,0.002605775,1,0.000211194,0.015,11.568886,0.939658,1,,,0,,
44,,null,null,22065573+6315507,J220655.60+631550.6,null,G,331.732239,63.264091,15.651417,0.05871,1,-13.9475,14.272,0.069,13.569,0.079,13.261,0.097,13.535,,13.624,,0,15.303,0.06,0.000162,0.001873546,1,0.000233444,0.015,8.313347,1.03751,1,,,0,,
45,,null,null,22174357+6305205,null,null,G,334.43158,63.089035,14.85556,0.061438,1,-14.6669,14.977,0.091,14.383,0.119,14.187,0.173,14.717,,,,1,14.537,0.063,0.000131,0.001808818,1,0.000233031,0.015,8.025739,1.035576,1,,,,,
46,,null,null,00062329+5938337,J000623.40+593833.7,null,G,1.597075,59.642704,15.396695,0.059584,1,-13.8497,14.774,0.092,14.194,0.114,13.958,0.153,13.933,,13.931,,0,15.043,0.061,0.000226,0.001593183,1,0.000222669,0.015,7.0678,0.989191,1,,,0,,
47,,null,null,20442025+5052127,J204420.20+505213.3,null,G,311.084412,50.870209,14.886807,0.080972,1,-15.545,14.064,0.093,13.06,0.069,12.485,0.099,12.272,,12.234,,0,14.474,0.085,0.000672,0.002747681,1,0.000201721,0.015,12.20023,0.897697,1,,,0,,
48,,null,null,21044789+5631176,J210447.97+563119.7,null,G,316.199554,56.521564,15.385664,0.065835,1,-14.6267,14.664,0.087,13.74,0.09,13.565,0.111,13.305,,13.35,,0,15.019,0.068,0.000268,0.00226582,1,0.000234687,0.015,10.056975,1.043663,1,,,0,,
49,,null,null,01321911+6557320,J013218.99+655732.9,null,G,23.079639,65.958908,15.508592,0.065931,1,-13.7369,15.082,0.102,14.402,0.129,14.003,0.147,13.93,,13.993,,0,15.146,0.068,0.000458,0.001592534,1,0.000215617,0.015,7.064918,0.957858,1,,,1,,
