wavelengths,fluxes
3444.645,2.450098e-17
3447.0609999999997,5.099922e-17
3449.478,-2.28123e-17
3451.897,-1.358192e-17
3454.3179999999998,5.863398e-17
3456.74,4.7447120000000006e-17
3459.164,3.8193320000000004e-17
3461.5890000000004,-5.723041999999999e-17
3464.015,-6.218123999999999e-17
3466.4429999999998,-4.7448500000000004e-17
3468.873,7.549808000000001e-17
3471.304,-2.7417920000000002e-17
3473.737,-1.405225e-17
3476.171,-2.688426e-17
3478.6059999999998,-1.7415179999999997e-17
3481.0429999999997,3.659542e-17
3483.482,-6.692978e-18
3485.922,-3.182726e-17
3488.363,-5.2013940000000005e-18
3490.8059999999996,6.380799e-17
3493.2509999999997,2.917167e-17
3495.697,5.065492e-17
3498.1440000000002,2.494699e-17
3500.593,2.043156e-17
3503.0429999999997,4.422495e-19
3505.495,2.155725e-17
3507.948,2.871871e-17
3510.403,3.1777150000000004e-17
3512.8590000000004,-1.094828e-17
3515.316,-1.403858e-17
3517.775,-2.4665340000000003e-17
3520.236,1.64859e-17
3522.698,1.0747380000000001e-17
3525.1609999999996,-2.9479190000000004e-17
3527.6259999999997,2.1489749999999998e-17
3530.092,3.495576e-17
3532.56,9.636628e-18
3535.0290000000005,-1.391831e-17
3537.5,9.104207e-17
3539.972,4.126528e-17
3542.445,-1.6586510000000002e-17
3544.92,4.349509e-17
3547.3959999999997,6.675666e-17
3549.8740000000003,5.230994e-18
3552.353,3.859143e-17
3554.8340000000003,4.881331e-17
3557.316,2.907747000000001e-17
3559.7990000000004,1.0015650000000001e-17
3562.284,2.960406e-17
3564.77,4.391307e-17
3567.258,4.396563e-17
3569.7470000000003,-7.351852e-18
3572.238,8.198824e-18
3574.73,3.5162329999999994e-17
3577.223,1.0993089999999999e-17
3579.718,4.660903e-17
3582.2140000000004,1.027534e-17
3584.711,4.587272e-18
3587.21,4.587239000000001e-17
3589.711,1.635779e-17
3592.212,-7.471008e-18
3594.715,3.293263e-17
3597.22,2.839347e-17
3599.7259999999997,2.031344e-17
3602.2329999999997,5.1021800000000004e-17
3604.742,2.574632e-17
3607.252,3.76349e-17
3609.763,3.059382e-17
3612.276,4.293805000000001e-17
3614.79,1.568205e-17
3617.3059999999996,2.3030370000000003e-17
3619.823,2.107063e-17
3622.341,4.4548409999999995e-17
3624.86,1.735101e-17
3627.382,3.865254e-17
3629.9040000000005,-4.6120050000000004e-18
3632.428,2.277696e-17
3634.953,-1.5429760000000002e-19
3637.4790000000003,-1.7565479999999998e-17
3640.007,-1.0961289999999999e-17
3642.5359999999996,1.3240379999999998e-17
3645.067,2.2342960000000003e-17
3647.599,1.962851e-17
3650.132,4.707678e-17
3652.667,3.643367e-17
3655.203,1.187482e-17
3657.74,-2.158501e-18
3660.278,2.1558400000000004e-17
3662.8179999999998,2.713952e-17
3665.36,2.555792e-18
3667.902,-4.44783e-19
3670.446,3.385242e-17
3672.992,2.391341e-17
3675.538,1.7333120000000002e-17
3678.086,1.046365e-17
3680.636,2.620344e-17
3683.1859999999997,2.889078e-17
3685.738,1.0706559999999999e-17
3688.2909999999997,2.5932119999999997e-17
3690.8459999999995,2.3228139999999996e-17
3693.402,1.646443e-18
3695.9590000000003,2.469188e-17
3698.518,1.8904400000000002e-17
3701.078,1.1241140000000001e-17
3703.639,4.924792e-18
3706.2009999999996,1.8033550000000002e-17
3708.765,2.668993e-17
3711.33,1.6135929999999998e-17
3713.8959999999997,1.852881e-17
3716.4640000000004,1.982889e-17
3719.033,1.757795e-17
3721.603,-1.0520129999999999e-17
3724.175,2.88558e-17
3726.748,8.081476e-18
3729.322,1.458641e-17
3731.897,1.455691e-17
3734.474,7.144893e-18
3737.052,1.8927939999999998e-17
3739.632,2.0503020000000002e-17
3742.212,1.9385160000000002e-17
3744.7940000000003,3.614454e-17
3747.377,9.040106e-18
3749.962,1.826647e-17
3752.547,3.220987e-17
3755.134,2.6363220000000004e-17
3757.723,1.199096e-17
3760.312,3.611961e-17
3762.903,1.368826e-17
3765.495,2.246176e-17
3768.0879999999997,-1.188171e-19
3770.683,1.564828e-17
3773.2790000000005,3.1189970000000007e-17
3775.8759999999997,1.3816420000000001e-17
3778.474,1.348241e-17
3781.074,-9.536784e-18
3783.675,1.3371660000000002e-17
3786.277,2.996389e-17
3788.88,3.3440290000000004e-17
3791.485,1.702316e-17
3794.091,9.587257000000001e-18
3796.698,1.2075610000000002e-17
3799.3059999999996,2.060536e-17
3801.9159999999997,2.5002629999999997e-17
3804.527,3.203957000000001e-17
3807.139,1.019689e-17
3809.752,2.721672e-17
3812.366,1.9973160000000002e-17
3814.982,2.1491210000000003e-17
3817.599,1.460674e-17
3820.217,2.8535529999999995e-17
3822.837,3.404291e-17
3825.458,3.8979849999999997e-17
3828.08,2.024922e-17
3830.703,2.121663e-17
3833.327,8.172656000000001e-18
3835.953,2.3512729999999994e-17
3838.579,2.6644850000000002e-17
3841.2070000000003,1.437861e-17
3843.836,1.248694e-17
3846.467,2.1062729999999996e-17
