wavelengths,fluxes
7074.4,0.730903
7083.6,0.67231
7092.8,0.62613
7102,0.743164
7111.2,0.719762
7120.4,0.651902
7129.6,0.606642
7138.8,0.622742
7148,0.633809
7157.2,0.60563
7166.4,0.5998
7175.6,0.52265
7184.8,0.611106
7194,0.696771
7203.2,0.599707
7212.4,0.730015
7221.6,0.68949
7230.8,0.581295
7240,0.686265
7249.2,0.63111
7258.4,0.589534
7267.6,0.684062
7276.8,0.636935
7286,0.560687
7295.2,0.604145
7304.4,0.684315
7313.6,0.65441
7322.8,0.526171
7332,0.650488
7341.2,0.634638
7350.4,0.623139
7359.6,0.651964
7368.8,0.569613
7378,0.582058
7387.2,0.663643
7396.4,0.498428
7405.6,0.753574
7414.8,0.564409
7424,0.668535
7433.2,0.49088
7442.4,0.716814
7451.6,0.590657
7460.8,0.53703
7470,0.581019
7479.2,0.563581
7488.4,0.57011
7497.6,0.625515
7506.8,0.501861
7516,0.703319
7525.2,0.551599
7534.4,0.677183
7543.6,0.640486
7552.8,0.495573
7562,0.550327
7571.2,0.543789
7580.4,0.646206
7589.6,0.420443
7598.8,0.309511
7608,0.201786
7617.2,0.429787
7626.4,0.315044
7635.6,0.313795
7644.8,0.228157
7654,0.447669
7663.2,0.739849
7672.4,0.641662
7681.6,0.535283
7690.8,0.479355
7700,0.412678
7709.2,0.766613
7718.4,0.725005
7727.6,0.682981
7736.8,0.503685
7746,0.298218
7755.2,0.40491
7764.4,0.674135
7773.6,0.619676
7782.8,0.638521
7792,0.532325
7801.2,0.490299
7810.4,0.633066
7819.6,0.549933
7828.8,0.631351
7838,0.764203
7847.2,0.555084
7856.4,0.75092
7865.6,0.462103
7874.8,0.548449
7884,0.533834
7893.2,0.589393
7902.4,0.667611
7911.6,0.701754
7920.8,0.640439
7930,0.654761
7939.2,1.15867
7948.4,0.559549
7957.6,0.535479
7966.8,0.409228
7976,0.33115
7985.2,-0.195554
7994.4,0.381689
