filter,mjd,flux,zp,magsys,fluxerr,ra_unc,dec_unc,ra,dec
ztfr,58582.44152999995,16099.04076215707,25.0,ab,163.10541030475704,0.25,0.22,229.9620712,34.8442608
ztfr,58632.285740000196,32299.812405956247,25.0,ab,327.24149426492244,0.25,0.22,229.9620611,34.8442666
ztfr,58655.195999999996,18213.776371047785,25.0,ab,184.5305886287347,0.25,0.22,229.9620719,34.8442587
ztfr,58654.231860000174,16099.04076215707,25.0,ab,163.10541030475704,0.25,0.22,229.9620602,34.8442537
ztfr,58652.294040000066,14832.009671818772,25.0,ab,150.2686438842202,0.25,0.22,229.9620459,34.8442667
ztfr,58607.341630000155,15317.927158934175,25.0,ab,155.19165589972584,0.25,0.22,229.9620554,34.844271
ztfr,58641.318719999865,26109.586865859335,25.0,ab,264.5260013661262,0.25,0.22,229.96206,34.8442492
ztfr,58638.27542999992,18949.597947435508,25.0,ab,191.9854725501375,0.25,0.22,229.9620631,34.8442635
ztfr,58640.25147000002,26816.370667607298,25.0,ab,271.6866927193551,0.25,0.22,229.9620832,34.8442638
ztfr,58633.32213000022,30902.95432513592,25.0,ab,313.08940198963165,0.25,0.22,229.962055,34.8442714
ztfr,58619.324310000055,17029.425618775498,25.0,ab,172.53148767309267,0.25,0.22,229.9620592,34.8442521
ztfr,58653.213580000214,16158.461209490011,25.0,ab,163.70742110688593,0.25,0.22,229.9620594,34.8442611
ztfr,58682.25606000004,15718.098282039173,25.0,ab,159.24593939340966,0.25,0.22,229.9620645,34.844247
ztfr,58642.25875000004,14750.271017597594,25.0,ab,149.4405189709743,0.25,0.22,229.9620512,34.8442631
ztfr,58639.32229000004,19355.304139797456,25.0,ab,196.09583390308993,0.25,0.22,229.962056,34.8442643
ztfr,58633.35093000019,31246.40085806115,25.0,ab,316.56898741947873,0.25,0.22,229.9620676,34.8442582
ztfr,58681.25533000007,15689.171126078567,25.0,ab,158.95286754449583,0.25,0.22,229.9620559,34.8442602
ztfr,58637.206650000066,19660.74633879103,25.0,ab,199.19038319501672,0.25,0.22,229.9620472,34.8442755
ztfr,58627.3666699999,15863.536054785027,25.0,ab,160.71942392879163,0.25,0.22,229.9620591,34.8442664
ztfr,58733.21244999999,25941.793621188175,25.0,ab,262.82602517358265,0.25,0.22,229.9620962,34.8442739
ztfr,58628.3314100001,16307.973610235962,25.0,ab,165.2221872242959,0.25,0.22,229.9620608,34.844255
ztfr,58650.25995999994,30450.89066974223,25.0,ab,308.509375819987,0.25,0.22,229.9620695,34.8442548
ztfr,58282.2317499998,22532.01335629485,25.0,ab,228.28026450554322,0.25,0.22,229.9620684,34.8442737
ztfr,58652.319440000225,24501.91336880788,25.0,ab,248.2380591684119,0.25,0.22,229.9620702,34.8442529
ztfr,58639.31581000006,20007.83052152393,25.0,ab,202.7068230171963,0.25,0.22,229.9620749,34.8442533
ztfr,58657.26072000014,20155.79812825193,25.0,ab,204.20593824795674,0.25,0.22,229.9621067,34.8442588
ztfr,58647.27162999986,18013.578646691418,25.0,ab,182.50231051852705,0.25,0.22,229.9620547,34.8442677
ztfr,58612.34347999981,21125.159662408514,25.0,ab,214.0269029313876,0.25,0.22,229.9620717,34.8442608
ztfr,58660.21958999988,15289.736466907105,25.0,ab,154.90604544269425,0.25,0.22,229.9620675,34.8442608
ztfr,58632.29680000013,31074.20310388586,25.0,ab,314.82438749186446,0.25,0.22,229.9620619,34.84426
ztfr,58651.25658999989,21517.905703397573,25.0,ab,218.00596013780634,0.25,0.22,229.9620589,34.84426
ztfr,58641.285840000026,29757.743773728136,25.0,ab,301.486845065136,0.25,0.22,229.9620657,34.84425
ztfr,58606.36343999999,21008.739692409912,25.0,ab,212.847408621458,0.25,0.22,229.9620737,34.8442521
ztfr,58642.249669999816,14190.575216890926,25.0,ab,143.77003123392237,0.25,0.22,229.9620538,34.8442575
ztfr,58632.26649999991,31477.483141013174,25.0,ab,318.9101685576523,0.25,0.22,229.962054,34.8442581
ztfr,58612.467840000056,16534.840121711517,25.0,ab,167.52065680303068,0.25,0.22,229.9620639,34.8442478
ztfr,58217.41374999983,16718.60357204467,25.0,ab,169.38243312923652,0.25,0.22,229.962055,34.8442756
ztfr,58231.33474999992,14203.651240480123,25.0,ab,143.90250932526828,0.25,0.22,229.9620712,34.8443043
ztfr,58242.31782,15732.581854464699,25.0,ab,159.3926778890781,0.25,0.22,229.9620816,34.8442938
ztfr,58222.36567999981,14125.375446227554,25.0,ab,143.10946794304465,0.25,0.22,229.9620661,34.8442836
ztfr,58638.23619000008,20777.82097504269,25.0,ab,210.50788462747175,0.25,0.22,229.962068,34.8442508
ztfr,58628.303330000024,16764.862660738978,25.0,ab,169.85110127867964,0.25,0.22,229.9620504,34.8442652
ztfr,58652.297449999955,15776.112696993468,25.0,ab,159.83370515501662,0.25,0.22,229.9620545,34.8442487
ztfr,58635.27581000002,15819.763986011556,25.0,ab,160.27595270944002,0.25,0.22,229.9620615,34.8442591
ztfr,58617.31094999984,16580.590751089167,25.0,ab,167.98417356074233,0.25,0.22,229.9620751,34.8442512
ztfr,58680.260790000204,14060.47524129913,25.0,ab,142.4519396648011,0.25,0.22,229.9620578,34.8442694
ztfr,58638.237110000104,20739.582044538307,25.0,ab,210.1204717038277,0.25,0.22,229.9620698,34.8442594
ztfr,58661.31081999978,29621.019360527673,25.0,ab,300.101638838057,0.25,0.22,229.9620717,34.8442581
ztfr,58612.24838999985,28392.26239424908,25.0,ab,287.6526419002515,0.25,0.22,229.9620468,34.8442713
ztfr,58619.340270000044,16158.461209490011,25.0,ab,163.70742110688593,0.25,0.22,229.962054,34.844266
ztfr,58637.33294000011,16143.585568264869,25.0,ab,163.556710415397,0.25,0.22,229.962055,34.8442595
ztfr,58660.23620999977,21717.00843347993,25.0,ab,220.02314445099944,0.25,0.22,229.9620659,34.8442594
ztfr,58651.278500000015,30704.356507300683,25.0,ab,311.0773331314803,0.25,0.22,229.9620634,34.8442579
ztfr,58619.33933999995,16143.585568264869,25.0,ab,163.556710415397,0.25,0.22,229.9620571,34.8442576
ztfr,58641.284920000006,29867.577550334903,25.0,ab,302.5996121835893,0.25,0.22,229.9620585,34.844256
ztfr,58608.25505999988,16474.03559435753,25.0,ab,166.9046233679349,0.25,0.22,229.9620571,34.8442479
ztfr,58711.280059999786,15878.153642056157,25.0,ab,160.86752017904323,0.25,0.22,229.9620532,34.8442517
ztfr,58637.30205000006,16338.041693006799,25.0,ab,165.52681822994828,0.25,0.22,229.9620586,34.8442575
ztfr,58312.237040000036,31102.83668685142,25.0,ab,315.114485042836,0.25,0.22,229.9620522,34.8443212
ztfr,58302.30439000018,22100.393173491862,25.0,ab,223.90735881184628,0.25,0.22,229.9620511,34.844322
ztfr,58324.17119000014,15545.331940607863,25.0,ab,157.4955788953951,0.25,0.22,229.9620553,34.8442739
ztfr,58580.39416000014,15834.341239145762,25.0,ab,160.4236403194472,0.25,0.22,229.9620515,34.8442569
ztfr,58538.50441000005,16998.085132034983,25.0,ab,172.21396546636726,0.25,0.22,229.9620397,34.8442986
ztfr,58337.192030000035,20587.328767335268,25.0,ab,208.57793674069993,0.25,0.22,229.9620748,34.8442754
ztfr,58288.23945000023,16039.8388250842,25.0,ab,162.50561331189493,0.25,0.22,229.9620713,34.8442786
ztfr,58296.276049999986,14832.009671818772,25.0,ab,150.2686438842202,0.25,0.22,229.9620661,34.8442785
ztfr,58598.47546999995,33143.62450092593,25.0,ab,335.79047056751466,0.25,0.22,229.9620548,34.8442768
ztfr,58583.30581999989,20950.770523651805,25.0,ab,212.2601012660072,0.25,0.22,229.9620723,34.8442756
ztfr,58567.38421999989,25165.177616146448,25.0,ab,254.9578376198665,0.25,0.22,229.9620573,34.8442601
ztfr,58560.425979999825,25444.856151466338,25.0,ab,257.7913655878193,0.25,0.22,229.9620555,34.8442565
ztfr,58295.25639000023,14021.67833705761,25.0,ab,142.05887370029083,0.25,0.22,229.962069,34.8442726
ztfr,58588.38774000015,14859.35642287006,25.0,ab,150.54570405920947,0.25,0.22,229.9620638,34.8442807
ztfr,58567.3666699999,27064.499490384835,25.0,ab,274.2005787356387,0.25,0.22,229.9620545,34.8442656
ztfr,58606.31941,14229.839445793335,25.0,ab,144.1678318395635,0.25,0.22,229.9620688,34.84427
ztfr,58574.48248999985,15747.078772898496,25.0,ab,159.53955159815382,0.25,0.22,229.9620604,34.8442498
ztfr,58568.352950000204,26351.1758986384,25.0,ab,266.9736303210876,0.25,0.22,229.9620449,34.8443037
ztfr,58340.185479999986,23507.151159382975,25.0,ab,238.15975073246403,0.25,0.22,229.9620691,34.844273
ztfr,58560.404320000205,16025.072388814211,25.0,ab,162.35600901669883,0.25,0.22,229.9620635,34.8442583
ztfr,58346.17186000012,20379.803862870547,25.0,ab,206.47542422512578,0.25,0.22,229.9620622,34.8442837
ztfr,58580.39508000016,15819.763986011556,25.0,ab,160.27595270944002,0.25,0.22,229.9620529,34.8442615
ztfr,58575.41286000004,19498.445997580457,25.0,ab,197.54605766426965,0.25,0.22,229.9620608,34.8442521
ztfr,58599.39266999997,15834.341239145762,25.0,ab,160.4236403194472,0.25,0.22,229.9620563,34.8442791
ztfr,58572.44032000005,15834.341239145762,25.0,ab,160.4236403194472,0.25,0.22,229.9620537,34.8442544
ztfr,58577.40872000018,25941.793621188175,25.0,ab,262.82602517358265,0.25,0.22,229.9620539,34.8442453
ztfr,58283.322970000096,20663.31517564482,25.0,ab,209.34778349666618,0.25,0.22,229.9620617,34.8442676
ztfr,58300.35183000006,16443.717232149324,25.0,ab,166.5974566875845,0.25,0.22,229.9620668,34.844264
ztfr,58297.2762000002,15516.722739072351,25.0,ab,157.20572836182112,0.25,0.22,229.9620579,34.8442764
ztfr,58582.409959999844,16039.8388250842,25.0,ab,162.50561331189493,0.25,0.22,229.9620574,34.8442588
ztfr,58343.15314000007,15922.087270511733,25.0,ab,161.31262822003086,0.25,0.22,229.9620454,34.844287
ztfr,58350.15090999985,14641.986429352784,25.0,ab,148.34344725991508,0.25,0.22,229.9620615,34.8442698
ztfr,58562.398730000015,15052.200686321328,25.0,ab,152.49948150345784,0.25,0.22,229.9620515,34.8442583
ztfr,58297.27100000018,15718.098282039173,25.0,ab,159.24593939340966,0.25,0.22,229.9620491,34.8442734
ztfr,58298.313509999774,15631.47642640954,25.0,ab,158.36834093816245,0.25,0.22,229.9620588,34.844295
ztfr,58312.196039999835,24366.884234595844,25.0,ab,246.8700284475679,0.25,0.22,229.9620724,34.8442786
ztfr,58592.321990000084,17522.658618857076,25.0,ab,177.52861588977862,0.25,0.22,229.9620643,34.8442624
ztfr,58586.357629999984,29867.577550334903,25.0,ab,302.5996121835893,0.25,0.22,229.9620559,34.8442538
ztfr,58568.335789999925,20286.16716966297,25.0,ab,205.52675582364546,0.25,0.22,229.9620551,34.8442693
ztfr,58575.44048999995,18501.204347718587,25.0,ab,187.4426290888196,0.25,0.22,229.9620634,34.8442544
ztfr,58575.413769999985,19751.4962206076,25.0,ab,200.10980422931797,0.25,0.22,229.9620634,34.8442554
ztfr,58539.368050000165,27164.392688390835,25.0,ab,275.21263413000247,0.25,0.22,229.9620698,34.8442792
ztfr,58605.39880000008,26742.37657088992,25.0,ab,270.9370308181574,0.25,0.22,229.9620605,34.8442499
ztfr,58332.255299999844,19751.4962206076,25.0,ab,200.10980422931797,0.25,0.22,229.9620654,34.8442935
ztfr,58298.280669999775,15995.580286146678,25.0,ab,162.05721348115082,0.25,0.22,229.9620538,34.844265
ztfr,58581.408619999886,13427.649611378642,25.0,ab,136.0405462442581,0.25,0.22,229.9620465,34.8442592
ztfr,58526.51197999995,15878.153642056157,25.0,ab,160.86752017904323,0.25,0.22,229.9620529,34.8442682
ztfr,58586.32204,32299.812405956247,25.0,ab,327.24149426492244,0.25,0.22,229.9620562,34.8442577
ztfr,58306.19487999985,16173.350557998512,25.0,ab,163.8582706719953,0.25,0.22,229.9620717,34.8442774
