filter,mjd,flux,zp,magsys,fluxerr
swiftxrt,57991.728947,0.0002544569464852509,23.9,ab,0.00015779684690914931
swiftxrt,57998.168947,0.000668660814943217,23.9,ab,0.00020073459461688838
swiftxrt,58092.048947,0.0020032076774038616,23.9,ab,0.0002443361327302569
swiftxrt,58141.168947,0.002169597740081218,23.9,ab,0.00033282240388057284
swiftxrt,58242.518947,0.001081989361005363,23.9,ab,0.0002786492389179635
swiftxrt,58341.138947,0.0007833059360967792,23.9,ab,0.0003425480835145229
swiftxrt,58564.828947,0.0002170925598786836,23.9,ab,8.360324996514893e-05
swiftxrt,58724.248947,0.0001392692649137935,23.9,ab,7.027987287108927e-05
