ID,RA,Dec,Field_Type
2962,98.7155075073,7.02763080597,NE
2963,189.284454346,7.02763319016,GP
2964,170.715545654,7.02763319016,NE
2965,314.715515137,7.0276350975,NS
2966,45.2844810486,7.0276350975,NE
2967,317.807678223,7.20772504807,WFD
2968,42.1923179626,7.20772504807,WFDNE
2969,258.192321777,7.20772504807,WFD
2970,101.807662964,7.20772504807,WFDNE
2971,330.192321777,7.20772695541,NS
2972,29.807674408,7.20772695541,NE
2973,186.192276001,7.20772790909,WFDNE
2974,173.807723999,7.20772790909,WFDNE
2975,245.80770874,7.2077832222,WFD
2976,114.19229126,7.2077832222,WFDNE
2977,183.097366333,7.3236489296,WFDNE
2978,176.902633667,7.3236489296,WFDNE
2979,248.902664185,7.32370519638,GP
2980,111.097343445,7.32370519638,WFDNE
2981,320.902648926,7.3237080574,WFDSE
2982,39.0973548889,7.3237080574,WFDNESE
2983,255.097366333,7.32370996475,WFD
2984,104.902633667,7.32370996475,WFDNE
2985,327.097381592,7.32370996475,WFDSE
2986,32.9026222229,7.32370996475,WFDNESE
2987,324.000030518,7.36385393143,NS
2988,35.9999656677,7.36385393143,NE
2989,180.0,7.36385822296,NE
2990,252.000015259,7.36386013031,NS
2991,107.999992371,7.36386013031,NE
2992,216.0,7.49814081192,WFD
2993,144.0,7.49814081192,GPWFDNE
2994,288.000030518,7.4981970787,GPWFD
2995,71.9999771118,7.4981970787,WFDNE
2996,0.0,7.4981970787,WFDNE
2997,284.763519287,7.5701508522,GPWFD
2998,75.2364883423,7.5701508522,WFDNE
2999,219.236495972,7.57020902634,WFDNE
3000,140.763504028,7.57020902634,WFDNE
3001,291.236541748,7.57020998001,GPWFD
3002,68.763458252,7.57020998001,WFDNE
3003,356.763458252,7.57020998001,WFDNE
3004,3.23653101921,7.57020998001,WFDNE
3005,212.763519287,7.57021093369,WFDNE
3006,147.236480713,7.57021093369,WFDNE
3007,222.452163696,7.76659679413,WFDNESE
3008,137.547836304,7.76659679413,GPWFDNESE
3009,209.547821045,7.76660203934,GPWFDSE
3010,150.452178955,7.76660203934,GPWFDNESE
3011,294.452148438,7.76665496826,GPWFDNESE
3012,65.5478591919,7.76665496826,WFDNESE
3013,353.547821045,7.76665496826,GPWFDNESE
3014,6.45217418671,7.76665496826,WFDNESE
3015,281.547790527,7.76666116714,GPWFDSE
3016,78.4521942139,7.76666116714,WFDNESE
3017,225.635498047,8.04547786713,WFDNE
3018,134.364501953,8.04547786713,WFDNE
3019,278.364471436,8.04552841187,NS
3020,81.6355133057,8.04552841187,WFDNE
3021,206.364501953,8.04553222656,WFD
3022,153.635498047,8.04553222656,WFDNE
3023,297.635528564,8.0455904007,WFDNE
3024,62.3644638062,8.0455904007,WFDNE
3025,350.364501953,8.04559326172,NS
3026,9.6354970932,8.04559326172,NE
3027,228.788696289,8.36056137085,NS
3028,131.211303711,8.36056137085,NE
3029,347.211273193,8.36056137085,NS
3030,12.7887191772,8.36056137085,NE
3031,203.211334229,8.36056232452,GP
3032,156.788665771,8.36056232452,NE
3033,275.211303711,8.36061573029,NS
3034,84.7886810303,8.36061573029,NE
3035,300.788726807,8.36061573029,NS
3036,59.2112693787,8.36061573029,NE
3037,200.064453125,8.65421962738,NS
3038,159.935546875,8.65421962738,NE
3039,87.9355239868,8.65421962738,NE
3040,272.064422607,8.65427684784,NS
3041,303.935546875,8.65427780151,NS
3042,56.0644493103,8.65427780151,NE
3043,344.06451416,8.65428161621,NS
3044,15.935500145,8.65428161621,NE
3045,231.935516357,8.65428161621,NS
3046,128.064483643,8.65428161621,NE
3047,235.055206299,8.95002937317,WFD
3048,124.944801331,8.95002937317,WFDNE
3049,196.944824219,8.95002937317,WFD
3050,163.055175781,8.95002937317,WFDNE
3051,268.944824219,8.95002937317,NS
3052,91.0551757812,8.95002937317,NE
3053,307.055175781,8.95008468628,WFD
3054,52.9448318481,8.95008468628,WFDNE
3055,340.944793701,8.95008659363,NS
3056,19.0552082062,8.95008659363,NE
3057,238.152130127,9.23463916779,WFD
3058,121.847869873,9.23463916779,WFDNE
3059,193.847885132,9.23463916779,WFD
3060,166.152114868,9.23463916779,WFDNE
3061,265.847900391,9.23464012146,WFD
3062,94.1520996094,9.23464012146,WFDNE
3063,337.847869873,9.23464298248,NS
3064,22.1521263123,9.23464298248,NE
3065,310.152069092,9.23464679718,GPNE
3066,49.8479232788,9.23464679718,WFDNE
3067,190.765136719,9.49073123932,NS
3068,169.234863281,9.49073123932,NE
3069,241.234848022,9.49078273773,NS
3070,118.765159607,9.49078273773,NE
3071,313.234832764,9.49078655243,NS
3072,46.765171051,9.49078655243,NE
3073,334.765136719,9.49078941345,NE
3074,25.2348556519,9.49078941345,NE
3075,262.765136719,9.49079036713,NE
3076,97.2348632812,9.49079036713,NE
3077,244.31098938,9.70229911804,WFD
3078,115.689002991,9.70229911804,WFDNE
3079,316.310974121,9.70230102539,WFD
3080,43.6890144348,9.70230102539,WFDNE
3081,187.688995361,9.70230484009,GP
3082,172.311004639,9.70230484009,WFDNE
