# From ESO https://www.eso.org/sci/observing/tools/standards/spectra/stanlis.html
name,ra,dec,epoch,comment,gaia_ra,gaia_dec,pmra,pmdec,parallax
HR5191,13 47 32.44,+49 18 48.0,2000.0,Standard V=1.86 type=B3V,206.88432674,49.31320181,,,
CD-32d9927,14 11 46.37,-33 03 14.3,2000.0,Standard V=10.42 type=A0,212.94299487,-33.05396264,-3.147,6.736,2.6507
HR5501,14 45 30.25,+00 43 02.7,2000.0,Standard V=5.68 type=B9.5V,221.375679,0.7172357,-38.907,-8.231,5.8113
LTT6248,15 39 00.02,-28 35 33.1,2000.0,Standard V=11.80 type=A,234.74735082,-28.59439108,-233.579,-177.141,4.4849
BD+33d2642,15 51 59.86,+32 56 54.8,2000.0,Standard V=10.81 type=B2IV,237.9994469,32.94842835,-14.302,0.787,0.2708
EG274,16 23 33.75,-39 13 47.5,2000.0,Standard V=11.03 type=DA,245.89143595,-39.22948746,77.398,0.386,77.4545
G138-31,16 27 53.59,+09 12 24.5,2000.0,Standard V=16.14 type=DC,246.96114046,9.19877696,-9.872,5.576,2.3475
LTT7379,18 36 26.29,-44 18 33.0,2000.0,Standard V=10.23 type=G0,279.10707147,-44.31096239,-169.788,-159.812,9.444
HR7001,18 36 56.33,+38 47 01.1,2000.0,Standard V=0.00 type=A0V,279.23588049,38.78496108,200.94,286.23,130.23
HR7596,19 54 44.80,+00 16 24.6,2000.0,Standard V=5.62 type=A0III,298.68682147,0.27356392,39.657,-13.766,6.255
LTT7987,20 10 57.38,-30 13 01.2,2000.0,Standard V=12.23 type=DA,302.73511635,-30.2196161,-340.866,-249.423,61.6935
G24-9,20 13 56.05,+06 42 55.2,2000.0,Standard V=15.72 type=DC,303.4879313,6.71184594,0.652,-14.425,1.0001
HR7950,20 47 40.55,-09 29 44.7,2000.0,Standard V=3.78 type=A1V,311.91910942,-9.4959322,33.923,-34.936,13.3619
LDS749B,21 32 15.75,+00 15 13.6,2000.0,Standard V=14.67 type=DB4,323.06947308,0.25412072,413.279,27.207,23.2906
BD+28d4211,21 51 11.07,+28 51 51.8,2000.0,Standard V=10.51 type=Op,327.79574915,28.86373795,-34.809,-56.937,8.9169
G93-48,21 52 25.33,+02 23 24.3,2000.0,Standard V=12.74 type=DA3,328.10581385,2.38743546,15.323,-300.533,44.3255
BD+25d4655,21 59 42.02,+26 25 58.1,2000.0,Standard V=9.76 type=O,329.92471052,26.43242538,-37.221,-42.006,8.656
NGC 7293,22 29 38.46,-20 50 13.3,2000.0,Standard V=13.51 type=V.Hot,337.41079032,-20.83716689,38.79,-3.347,5.0124
HR8634,22 41 27.64,+10 49 53.2,2000.0,Standard V=3.40 type=B8V,340.36585288,10.83131108,,,
LTT9239,22 52 40.88,-20 35 26.3,2000.0,Standard V=12.07 type=F,343.171355,-20.59389539,78.81,-314.311,6.2992
LTT9491,23 19 34.98,-17 05 29.8,2000.0,Standard V=14.11 type=DC,349.89857637,-17.09119498,242.074,10.229,39.1455
Feige110,23 19 58.39,-05 09 55.8,2000.0,Standard V=11.82 type=DOp,349.99329394,-5.16560573,-8.533,-0.592,3.6921
GD248,23 26 06.69,+16 00 21.4,2000.0,Standard V=15.09 type=DC,351.5348178,16.01270035,2.9,1.644,0.5984
