filter,mjd,flux,zp,magsys,fluxerr,ra_unc,dec_unc,ra,dec
ztfr,59072.464560199995,,23.9,ab,8.058957421682633,,,,
ztfr,59072.505590300076,,23.9,ab,12.527917877922064,,,,
ztfg,59073.383888899814,,23.9,ab,7.884223058811069,,,,
ztfr,59074.40203699982,,23.9,ab,31.613935447755168,,,,
ztfg,59074.44337960007,,23.9,ab,99.60443542084761,,,,
ztfg,59074.44908560021,,23.9,ab,119.1129236013615,,,,
ztfr,59075.326747700106,,23.9,ab,6.916377905507168,,,,
ztfg,59075.36076389998,,23.9,ab,6.016152962502269,,,,
ztfg,59075.371701399796,,23.9,ab,6.17730179819974,,,,
ztfr,59076.36377310008,,23.9,ab,7.025525171035028,,,,
ztfr,59076.38342589978,,23.9,ab,7.384461129022956,,,,
ztfg,59076.455624999944,,23.9,ab,6.538503870751242,,,,
ztfg,59076.49745369982,,23.9,ab,6.973953158338646,,,,
ztfg,59077.39098379994,,23.9,ab,5.487806956126671,,,,
ztfg,59077.40284720017,,23.9,ab,5.268881934274318,,,,
ztfr,59077.45394679997,,23.9,ab,5.667076718275305,,,,
ztfr,59077.47192130005,,23.9,ab,6.613000898425313,,,,
ztfg,59078.402013900224,,23.9,ab,6.110524832262185,,,,
ztfg,59079.35391200008,,23.9,ab,5.845729377263126,,,,
ztfr,59079.38340280019,,23.9,ab,7.175276563984279,,,,
ztfr,59079.427187500056,,23.9,ab,6.4381103232537695,,,,
ztfg,59079.468020800035,,23.9,ab,5.638952644467376,,,,
ztfr,59080.36020829994,,23.9,ab,7.624978774420472,,,,
ztfg,59080.413044000044,,23.9,ab,6.710555073830489,,,,
ztfg,59080.44363430003,,23.9,ab,7.089872903350343,,,,
ztfr,59081.38569439994,,23.9,ab,7.629896343537034,,,,
ztfr,59081.424317100085,,23.9,ab,6.476770555655544,,,,
ztfg,59081.46768519981,,23.9,ab,6.3626654819140676,,,,
ztfg,59082.34186339984,,23.9,ab,27.738213260237604,,,,
ztfg,59082.422280100174,,23.9,ab,6.017812488944739,,,,
ztfr,59082.46988430014,,23.9,ab,9.033138003050942,,,,
ztfg,59084.350312499795,,23.9,ab,6.796402248096485,,,,
ztfg,59084.44184029987,,23.9,ab,6.022254237105993,,,,
ztfr,59084.4896644,,23.9,ab,6.677264246857514,,,,
ztfr,59084.510300899856,,23.9,ab,8.616256629405084,,,,
ztfg,59085.360092599876,,23.9,ab,5.336285989620282,,,,
ztfg,59085.38054399984,,23.9,ab,5.391115564643918,,,,
ztfr,59085.46636570012,,23.9,ab,5.907972541605651,,,,
ztfr,59086.3598842998,,23.9,ab,5.872171050696131,,,,
ztfr,59086.40744209988,,23.9,ab,5.625990529294522,,,,
ztfg,59086.470613399986,,23.9,ab,5.931422996683112,,,,
ztfr,59087.38548609987,,23.9,ab,6.697588310149844,,,,
