,name,ra,dec,amaj,amin,phi
486,4FGL J0326.2+0225 ,51.5724,2.4228,0.0311,0.0288,62.93
487,4FGL J0326.7-3404 ,51.6895,-34.0769,0.0508,0.0496,74.84
488,4FGL J0327.6+2620 ,51.917,26.3341,0.0493,0.0436,61.8
489,4FGL J0328.4-4736 ,52.101,-47.6158,0.0667,0.0568,86.18
490,4FGL J0328.6-1129 ,52.1608,-11.4952,0.0663,0.0633,-84.49
491,4FGL J0328.8-5715 ,52.2211,-57.2591,0.0478,0.0438,58.91
492,4FGL J0330.6+0438 ,52.6727,4.6349,0.0716,0.0587,86.86
493,4FGL J0330.7-2408 ,52.6938,-24.147,0.0708,0.0626,-54.41
494,4FGL J0331.3-6156 ,52.8438,-61.9365,0.024,0.0216,-13.47
495,4FGL J0331.8-7040 ,52.969,-70.6697,0.0478,0.0409,-55.8
496,4FGL J0331.9+6307 ,52.9909,63.1309,0.024,0.0224,12.86
497,4FGL J0332.8+1557 ,53.2156,15.9593,0.0779,0.0575,32.06
498,4FGL J0333.0-3044 ,53.2633,-30.7449,0.063,0.0602,62.11
499,4FGL J0333.1+8227 ,53.2971,82.4501,0.0579,0.0524,15.02
500,4FGL J0333.3+0233 ,53.3435,2.561,0.0724,0.0597,-9.42
501,4FGL J0333.7+7851 ,53.445,78.8501,0.0252,0.0231,-9.0
502,4FGL J0333.7+2916 ,53.4468,29.2711,0.0189,0.0172,-22.64
503,4FGL J0333.8+4007 ,53.4658,40.1196,0.0576,0.0441,1.64
504,4FGL J0333.9+6537 ,53.4767,65.6188,0.0194,0.0189,29.18
505,4FGL J0334.2-3725 ,53.55565,-37.43274,0.0191,0.0178,22.35
506,4FGL J0334.2-4008 ,53.5566,-40.145,0.0144,0.014,28.08
507,4FGL J0334.3+3920 ,53.5823,39.3389,0.0422,0.0394,59.07
508,4FGL J0335.1-4459 ,53.7846,-44.9916,0.035,0.032,39.96
509,4FGL J0336.0+7502 ,54.0249,75.05,0.0255,0.0247,-9.43
510,4FGL J0336.5-0348 ,54.1303,-3.812,0.055,0.0483,79.76
511,4FGL J0337.5+2423c,54.3941,24.3836,0.0808,0.0774,55.63
512,4FGL J0338.1-2443 ,54.5305,-24.7207,0.069,0.0443,-49.91
513,4FGL J0338.5+1302 ,54.6355,13.0419,0.0177,0.0165,86.98
514,4FGL J0338.7-5706 ,54.6985,-57.1061,0.0391,0.0388,-67.94
515,4FGL J0338.9-2848 ,54.7447,-28.8009,0.0308,0.0285,-28.17
516,4FGL J0339.2-1736 ,54.8119,-17.6003,0.0302,0.0252,71.82
517,4FGL J0339.5-0146 ,54.8771,-1.7769,0.0147,0.0146,-78.5
518,4FGL J0340.3+4130 ,55.099,41.5091,0.0169,0.0162,62.93
519,4FGL J0340.4+5302 ,55.1099,53.0363,0.0645,0.0584,-26.3
520,4FGL J0340.4-2422 ,55.1243,-24.3729,0.0626,0.0514,71.68
521,4FGL J0340.5-2118 ,55.1477,-21.3158,0.0327,0.0315,-5.33
522,4FGL J0340.5-0256 ,55.1484,-2.935,0.0593,0.055,-3.41
523,4FGL J0342.2+3858 ,55.573,38.978,0.0455,0.0405,-73.11
524,4FGL J0342.4+3125c,55.6038,31.4238,0.0609,0.0537,60.7
525,4FGL J0342.8-3007 ,55.709,-30.1286,0.0644,0.0589,-7.65
526,4FGL J0343.2-2529 ,55.8136,-25.4943,0.0648,0.0577,-39.39
527,4FGL J0343.2-6444 ,55.8163,-64.7349,0.0249,0.0237,33.05
528,4FGL J0343.3-6303 ,55.8456,-63.0546,0.0502,0.0491,-68.08
529,4FGL J0343.4+3621 ,55.8726,36.3564,0.0531,0.0516,12.0
530,4FGL J0344.4+3432 ,56.1212,34.5471,0.0457,0.0398,-78.23
531,4FGL J0345.2-2353 ,56.3187,-23.885,0.0355,0.0316,-88.96
532,4FGL J0346.2+3235c,56.5696,32.5853,0.078,0.0748,-12.58
533,4FGL J0347.5+0722 ,56.8964,7.3828,0.0511,0.0477,-73.69
534,4FGL J0348.2+6035 ,57.0541,60.5904,0.0384,0.0332,-72.4
535,4FGL J0348.5-2749 ,57.1417,-27.8303,0.0459,0.0401,33.33
536,4FGL J0348.6-1609 ,57.1532,-16.1654,0.042,0.0385,42.39
537,4FGL J0349.4-1159 ,57.3539,-11.9941,0.0317,0.0311,52.02
538,4FGL J0349.6+4026 ,57.407,40.4391,0.0818,0.0773,40.29
539,4FGL J0349.8-2103 ,57.4699,-21.0576,0.0333,0.0322,-89.92
540,4FGL J0350.0+0640 ,57.5043,6.6754,0.0442,0.0411,30.71
541,4FGL J0350.4-5144 ,57.6127,-51.7434,0.0443,0.0423,-16.05
542,4FGL J0350.8-2814 ,57.71,-28.2494,0.0413,0.0372,17.65
543,4FGL J0352.9-3623 ,58.2326,-36.391,0.0501,0.0424,-50.71
544,4FGL J0353.0+5654 ,58.272,56.9026,0.0485,0.0385,-58.93
545,4FGL J0353.0-6831 ,58.2738,-68.5282,0.0257,0.0222,-38.46
546,4FGL J0353.7+8257 ,58.4405,82.9604,0.044,0.0373,12.73
547,4FGL J0354.4+4643 ,58.609,46.7231,0.042,0.0379,-48.77
548,4FGL J0354.7+8009 ,58.6919,80.1647,0.0388,0.0371,21.09
549,4FGL J0355.1-1841 ,58.7773,-18.6928,0.0572,0.0504,-66.35
550,4FGL J0355.3+3909 ,58.834,39.1665,0.0359,0.0327,55.4
551,4FGL J0356.1-1329 ,59.0313,-13.486,0.0574,0.0535,44.11
552,4FGL J0357.0-4955 ,59.2608,-49.9326,0.0366,0.0331,44.7
553,4FGL J0357.2+2320 ,59.3015,23.347,0.0723,0.0534,-74.71
554,4FGL J0357.2-0319 ,59.3234,-3.3225,0.0582,0.0479,-24.04
555,4FGL J0357.6-4625 ,59.4135,-46.4173,0.0681,0.0612,23.34
556,4FGL J0357.7-6808 ,59.4403,-68.1338,0.0483,0.0411,83.93
557,4FGL J0357.8+3204 ,59.4605,32.0833,0.0146,0.0144,-1.39
558,4FGL J0358.7+7649 ,59.676,76.8323,0.0683,0.0517,-79.17
559,4FGL J0358.7-7403 ,59.6977,-74.0565,0.0791,0.0721,49.13
560,4FGL J0359.0-3053 ,59.7704,-30.8898,0.0566,0.0484,-49.9
561,4FGL J0359.4-0236 ,59.853,-2.6019,0.0577,0.0515,77.34
562,4FGL J0359.4+5414 ,59.8638,54.2482,0.0324,0.0298,-46.26
563,4FGL J0359.4-2616 ,59.8713,-26.2734,0.0554,0.0504,-11.12
564,4FGL J0359.6+5057 ,59.9158,50.959,0.0423,0.0385,-66.61
565,4FGL J0359.7+4445 ,59.9473,44.7569,0.0736,0.0606,-39.89
566,4FGL J0400.7+3920 ,60.1856,39.3483,0.0584,0.0506,-33.78
567,4FGL J0401.0-5353 ,60.2646,-53.8992,0.0541,0.0482,25.74
568,4FGL J0401.3+0412 ,60.3388,4.2119,0.0801,0.0756,-42.66
569,4FGL J0401.7+2112 ,60.4496,21.2007,0.0419,0.0355,79.55
570,4FGL J0401.9-2034 ,60.4867,-20.5804,0.04,0.0374,-63.22
571,4FGL J0402.0-2616 ,60.5103,-26.273,0.0465,0.0427,-39.36
572,4FGL J0402.0+2737 ,60.5119,27.6204,0.0733,0.0622,45.03
573,4FGL J0402.1-3147 ,60.5483,-31.7926,0.076,0.064,84.39
574,4FGL J0402.9+6433 ,60.7373,64.5517,0.037,0.0334,-29.73
575,4FGL J0403.9-3605 ,60.975,-36.087,0.0137,0.0136,84.18
576,4FGL J0404.1-1715 ,61.0485,-17.2585,0.0723,0.0522,-62.76
577,4FGL J0405.4-6929 ,61.3672,-69.4885,0.0727,0.0631,-88.99
578,4FGL J0405.6-1308 ,61.4189,-13.1438,0.0387,0.0346,-39.12
579,4FGL J0405.9+3041c,61.49,30.6925,0.063,0.0601,-14.89
580,4FGL J0406.2+0639 ,61.5514,6.6524,0.0588,0.0546,-61.9
581,4FGL J0407.0-3826 ,61.7627,-38.4394,0.022,0.0217,-47.25
582,4FGL J0407.5+0741 ,61.8921,7.6998,0.0439,0.0369,49.43
583,4FGL J0407.7-5702 ,61.9327,-57.0359,0.0719,0.0647,7.86
584,4FGL J0409.2+2542 ,62.3144,25.7022,0.0564,0.048,62.62
585,4FGL J0409.4-3822 ,62.3546,-38.3672,0.0533,0.0492,3.76
586,4FGL J0409.4+3201 ,62.365,32.0299,0.0394,0.0381,-23.79
587,4FGL J0409.8-0359 ,62.4629,-3.9865,0.0403,0.0391,-41.03
588,4FGL J0410.9+4216 ,62.736,42.2777,0.0331,0.0295,72.46
589,4FGL J0413.1-5332 ,63.2773,-53.5483,0.0503,0.0434,-33.24
590,4FGL J0414.6+5711 ,63.6698,57.1883,0.0481,0.0454,73.03
591,4FGL J0414.7-4300 ,63.6977,-43.012,0.0733,0.0679,56.63
592,4FGL J0414.8-5338 ,63.7098,-53.6479,0.0479,0.038,83.76
593,4FGL J0415.2-5741 ,63.8016,-57.6904,0.0689,0.0508,19.38
594,4FGL J0416.0-6628 ,64.0197,-66.4737,0.0661,0.0527,80.25
595,4FGL J0416.5-1852 ,64.1373,-18.8724,0.031,0.03,57.46
596,4FGL J0416.9+0105 ,64.2269,1.088,0.0233,0.0216,88.3
597,4FGL J0418.1-0252 ,64.5321,-2.8795,0.0405,0.0399,-52.63
598,4FGL J0418.4-4342 ,64.6234,-43.7162,0.0463,0.0434,-32.18
599,4FGL J0418.9+6636 ,64.7254,66.6001,0.0238,0.0217,20.34
600,4FGL J0420.2+4012 ,65.0547,40.201,0.0409,0.0378,29.76
601,4FGL J0420.3-6016 ,65.0776,-60.2697,0.0607,0.0542,32.56
602,4FGL J0420.3-3745 ,65.0936,-37.7522,0.0273,0.0265,61.75
603,4FGL J0422.1-0644 ,65.5343,-6.741,0.0391,0.0373,70.14
604,4FGL J0422.3+1951 ,65.5868,19.8618,0.071,0.0509,-3.26
605,4FGL J0423.0-0943 ,65.7512,-9.7194,0.0717,0.0698,16.6
606,4FGL J0423.1+2106 ,65.7805,21.1087,0.05,0.0458,87.0
607,4FGL J0423.3-0120 ,65.826,-1.3342,0.0159,0.0156,-26.7
608,4FGL J0423.9+4150 ,65.9781,41.8342,0.0131,0.0125,-89.81
609,4FGL J0424.7+0036 ,66.1945,0.6028,0.0212,0.0195,-49.73
610,4FGL J0424.9-5331 ,66.2498,-53.5257,0.0323,0.0301,-2.29
611,4FGL J0425.3+6319 ,66.3371,63.3262,0.0259,0.0215,62.44
612,4FGL J0426.5+5434 ,66.6306,54.5704,0.0464,0.0431,-78.03
613,4FGL J0426.7+6826 ,66.6805,68.4498,0.0262,0.0241,-38.9
614,4FGL J0427.3-3900 ,66.826,-39.0097,0.0448,0.0399,5.02
615,4FGL J0427.8-6704 ,66.9577,-67.0818,0.0338,0.0313,33.01
616,4FGL J0428.6-3756 ,67.173,-37.9403,0.0082,0.0082,50.26
617,4FGL J0429.8+2843 ,67.4579,28.7191,0.0356,0.0307,-13.96
618,4FGL J0429.9-3101 ,67.4806,-31.0178,0.038,0.0335,-49.48
619,4FGL J0430.3-2507 ,67.5751,-25.1283,0.0317,0.0308,-19.16
620,4FGL J0430.3+1654 ,67.5901,16.9093,0.0442,0.0403,-38.97
621,4FGL J0431.8+7403 ,67.9517,74.0552,0.0265,0.0249,10.26
622,4FGL J0433.0+0522 ,68.2618,5.3696,0.0721,0.0649,-89.14
623,4FGL J0433.0+1327 ,68.2646,13.4586,0.082,0.0666,44.39
624,4FGL J0433.1+3227 ,68.2897,32.4614,0.0308,0.0276,2.74
