filter,mjd,flux,zp,magsys,fluxerr
ztfg,61259.45675,121.3389,23.9,ab,10.0585
ztfr,61259.47064,97.2747,23.9,ab,8.0637
ztfg,61254.96005,,23.9,ab,7.9621
ztfr,61254.97394,,23.9,ab,7.9621
