,Unnamed: 0,nightdate,jd,field,rcid,ra0,dec0,nalertpackets,programid,expid,fid,scimaglim,diffmaglim,sciinpseeing,difffwhm,exptime,status,exitcode
35,742600, 2019-04-25 ,2458598.8460417003,1,41,176.98324034599997,63.49938290795,1,2,84434604,2,21.43,20.3826,1.5901,2.27013,30,1,0
36,742601, 2019-04-25 ,2458598.8460417003,1,32,187.2095065273,63.34758656359,4,2,84434604,2,21.33,20.4684,1.6794,2.26456,30,1,0
37,742602, 2019-04-25 ,2458598.8460417003,1,60,174.38754579259998,65.34096002119,3,2,84434604,2,21.25,20.339,1.74,2.33053,30,1,0
38,742603, 2019-04-25 ,2458598.8460417003,1,2,184.547464993,58.7553736547,4,2,84434604,2,21.48,20.2928,1.5523,2.28123,30,1,0
39,742604, 2019-04-25 ,2458598.8460417003,1,40,178.92006091759998,63.52702820343001,8,2,84434604,2,21.49,20.4874,1.5574,2.27291,30,1,0
40,742605, 2019-04-25 ,2458598.8460417003,1,11,179.064515282,58.82958844109,5,2,84434604,2,21.49,20.4149,1.5579,2.35211,30,1,0
41,742606, 2019-04-25 ,2458598.8460417003,1,30,173.4610843603,60.58561315993,1,2,84434604,2,21.35,20.3279,1.6442,2.2365,30,1,0
42,742607, 2019-04-25 ,2458598.8460417003,1,33,185.2892937045,63.430591902,5,2,84434604,2,21.4,20.4074,1.6686,2.39733,30,1,0
43,742608, 2019-04-25 ,2458598.8460417003,1,62,172.5730516292,64.39086473326999,3,2,84434604,2,21.17,20.2578,1.7655,2.38676,30,1,0
44,742609, 2019-04-25 ,2458598.8460417003,1,59,178.88223456720002,64.57358945215,7,2,84434604,2,21.4,20.4218,1.5326,2.28123,30,1,0
45,742610, 2019-04-25 ,2458598.8460417003,1,3,186.2054391354,58.68247638759,4,2,84434604,2,21.3,20.2869,1.6881,2.31967,30,1,0
46,742611, 2019-04-25 ,2458598.8460417003,1,14,173.8253070373,58.68384925804,1,2,84434604,2,21.28,20.1914,1.6594,2.22801,30,1,0
47,742612, 2019-04-25 ,2458598.8460417003,1,1,184.6700510967,59.61926965155,7,2,84434604,2,21.51,20.3629,1.5191,2.30328,30,1,0
48,742613, 2019-04-25 ,2458598.8460417003,1,15,175.48385919990002,58.75359884912,8,2,84434604,2,21.46,20.3724,1.5116,2.31967,30,1,0
49,742614, 2019-04-25 ,2458598.8460417003,1,18,184.8275378784,60.66130133801999,5,2,84434604,2,21.5,20.4094,1.5808,2.33053,30,1,0
50,742615, 2019-04-25 ,2458598.8460417003,1,9,177.3312654864,59.67341989646,3,2,84434604,2,21.44,20.3841,1.5482,2.26456,30,1,0
51,742616, 2019-04-25 ,2458598.8460417003,1,51,187.4829779794,64.38809565764,6,2,84434604,2,21.33,20.5239,1.6035,2.39733,30,1,0
52,742617, 2019-04-25 ,2458598.8460417003,1,39,182.9780779866,62.63231779725,3,2,84434604,2,21.49,20.4951,1.6258,2.31149,30,1,0
53,742618, 2019-04-25 ,2458598.8460417003,1,48,187.7255977649,65.2481182686,6,2,84434604,2,21.28,20.3099,1.6299,2.35748,30,1,0
54,742619, 2019-04-25 ,2458598.8460417003,1,47,174.91852416720002,62.572698683240006,4,2,84434604,2,21.4,20.3961,1.6807,2.39469,30,1,0
55,742620, 2019-04-25 ,2458598.8460417003,1,42,177.0724273989,62.63397652927,2,2,84434604,2,21.43,20.3325,1.6182,2.37616,30,1,0
56,742621, 2019-04-25 ,2458598.8460417003,1,20,182.8764669938,61.58201952492,3,2,84434604,2,21.47,20.4979,1.5601,2.27846,30,1,0
